user_id,age,gender,height_cm,weight_kg,fitness_level,experience_months,consistency,previous_training,goals,preferred_duration,preferred_frequency,preferred_style,preferred_exercises,equipment,available_time,schedule_flexibility,limitations,recovery_capacity,energy_levels,stress_levels,sleep_quality,motivation_type,enjoyment_factors,preferred_intensity,bmi,exp_bin,primary_goal
U000079,22,Male,200,78,Beginner,2,4,Full Body,General Fitness,30-45 min,3,Full Body,"Olympic lifts,Bodyweight exercises,Free weights",Full Gym,30-45 min,4,None,4,2,2,4,Social,"Social,Achievement",3,19.5,0-6,General Fitness
U000080,31,Male,192,110,Novice,17,3,Sports-specific,Strength,60-75 min,3,Body Part Split,"Isolation exercises,Machine-based exercises,Compound movements",Full Gym,45-60 min,2,None,3,3,3,3,Process-driven,"Challenge,Achievement",3,29.8,7-24,Strength
U000081,47,Female,184,63,Beginner,1,3,None/Minimal,General Fitness,60-75 min,3,Full Body,"Bodyweight exercises,Isolation exercises,Cardio",Garage Gym,45-60 min,1,Back issues,3,5,3,5,Results-driven,"Variety,Achievement",1,18.6,0-6,General Fitness
U000082,51,Female,165,82,Beginner,1,3,Full Body,General Fitness,30-45 min,2,Full Body,"Isolation exercises,Machine-based exercises",Garage Gym,45-60 min,5,None,5,3,3,3,Competition,Variety,2,30.1,0-6,General Fitness
U000083,31,Male,188,74,Novice,6,2,Body Part Split,Hypertrophy,30-45 min,2,Upper/Lower,Cardio,Full Gym,45-60 min,1,None,3,3,2,3,Social,"Challenge,Variety",4,20.9,0-6,Hypertrophy
U000084,36,Female,161,81,Beginner,6,2,None/Minimal,General Fitness,30-45 min,2,Push/Pull/Legs,"Isolation exercises,Bodyweight exercises",At Home,≤30 min,3,None,1,2,4,3,Competition,Achievement,3,31.2,0-6,General Fitness
U000085,30,Male,177,95,Intermediate,27,3,CrossFit/Functional Fitness,"Hypertrophy,General Fitness",60-75 min,4,Upper/Lower,Compound movements,At Home,60-90 min,1,Hip issues,1,1,4,1,Process-driven,"Achievement,Social",3,30.3,25-60,Hypertrophy
U000086,34,Female,173,73,Novice,6,1,Full Body,"Weight Loss,Strength",45-60 min,6,Full Body,Cardio,Dumbbell Only,45-60 min,1,Knee issues,1,2,5,1,Social,"Social,Structure",3,24.4,0-6,Weight Loss
U000087,42,Male,186,63,Intermediate,40,3,Upper/Lower,Weight Loss,60-75 min,3,No preference,"Compound movements,Cardio,Bodyweight exercises",At Home,45-60 min,3,Back issues,4,4,3,4,Social,"Structure,Achievement",5,18.2,25-60,Weight Loss
U000088,41,Female,180,85,Novice,19,4,Upper/Lower,Strength,45-60 min,3,Push/Pull/Legs,"Compound movements,Olympic lifts",Full Gym,45-60 min,2,None,5,2,3,4,Results-driven,Structure,3,26.2,7-24,Strength
U000089,48,Male,170,100,Beginner,2,2,None/Minimal,"Weight Loss,General Fitness",30-45 min,2,Upper/Lower,Machine-based exercises,Full Gym,45-60 min,3,None,4,4,3,4,Results-driven,Challenge,2,34.6,0-6,Weight Loss
U000090,54,Male,192,87,Beginner,2,1,Upper/Lower,Weight Loss,60-75 min,2,Full Body,"Olympic lifts,Cardio",Dumbbell Only,60-90 min,3,None,1,3,4,2,Process-driven,"Achievement,Structure",2,23.6,0-6,Weight Loss
U000091,35,Prefer not to say,178,97,Beginner,3,3,Body Part Split,"Endurance,Hypertrophy",60-75 min,3,Full Body,"Olympic lifts,Cardio,Machine-based exercises",Dumbbell Only,60-90 min,3,None,4,4,1,5,Social,Achievement,1,30.6,0-6,Endurance
U000092,65,Male,192,105,Beginner,3,1,Push/Pull/Legs,Strength,60-75 min,2,Push/Pull/Legs,"Bodyweight exercises,Free weights,Compound movements",Dumbbell Only,45-60 min,5,None,3,2,3,2,Process-driven,Social,1,28.5,0-6,Strength
U000093,64,Male,176,97,Intermediate,47,4,CrossFit/Functional Fitness,Hypertrophy,45-60 min,4,Body Part Split,Free weights,Dumbbell Only,30-45 min,3,None,2,4,2,2,Competition,Structure,2,31.3,25-60,Hypertrophy
U000094,18,Female,185,61,Advanced,101,4,CrossFit/Functional Fitness,General Fitness,75-90 min,5,Body Part Split,"Cardio,Isolation exercises",At Home,90+ min,3,None,3,4,4,1,Results-driven,Challenge,2,17.8,61-120,General Fitness
U000095,52,Male,197,73,Intermediate,15,4,Push/Pull/Legs,"Hypertrophy,Athletic Performance",45-60 min,3,Push/Pull/Legs,Isolation exercises,Full Gym,30-45 min,4,None,4,3,2,4,Process-driven,"Variety,Social",4,18.8,7-24,Hypertrophy
U000096,50,Female,160,49,Beginner,0,4,None/Minimal,"Athletic Performance,Weight Loss",30-45 min,2,Full Body,"Cardio,Bodyweight exercises",Garage Gym,30-45 min,3,Knee issues,3,3,3,3,Process-driven,"Challenge,Variety",3,19.1,,Athletic Performance
U000097,43,Female,176,56,Beginner,2,1,None/Minimal,Weight Loss,45-60 min,5,Upper/Lower,Cardio,Garage Gym,45-60 min,3,None,5,3,2,5,Results-driven,Achievement,2,18.1,0-6,Weight Loss
U000098,39,Female,170,66,Novice,15,3,None/Minimal,Hypertrophy,45-60 min,5,Upper/Lower,"Olympic lifts,Free weights,Machine-based exercises",Dumbbell Only,30-45 min,3,None,2,2,5,2,Social,Structure,3,22.8,7-24,Hypertrophy
U000099,37,Male,187,106,Intermediate,58,1,Upper/Lower,Strength,75-90 min,4,Push/Pull/Legs,"Cardio,Machine-based exercises",Full Gym,60-90 min,4,Ankle issues,2,3,5,2,Social,"Challenge,Structure",4,30.3,25-60,Strength
U000100,56,Male,192,92,Intermediate,20,1,CrossFit/Functional Fitness,General Fitness,60-75 min,5,Push/Pull/Legs,"Cardio,Compound movements",At Home,60-90 min,1,None,4,5,1,5,Competition,Variety,3,25.0,7-24,General Fitness
U000101,55,Male,193,64,Intermediate,39,4,Cardio-focused,"Weight Loss,Athletic Performance",75-90 min,2,Body Part Split,"Machine-based exercises,Cardio",Full Gym,90+ min,5,None,2,3,2,3,Process-driven,Social,3,17.2,25-60,Weight Loss
U000102,33,Female,171,53,Beginner,4,2,Full Body,Weight Loss,30-45 min,3,No preference,"Olympic lifts,Cardio",At Home,45-60 min,2,None,5,5,3,5,Process-driven,Variety,4,18.1,0-6,Weight Loss
U000103,25,Non-binary,163,96,Intermediate,44,4,Body Part Split,"Strength,Weight Loss",45-60 min,4,Push/Pull/Legs,Isolation exercises,Dumbbell Only,60-90 min,1,None,4,4,1,4,Results-driven,"Structure,Social",5,36.1,25-60,Strength
U000104,60,Female,165,69,Intermediate,20,4,CrossFit/Functional Fitness,"General Fitness,Weight Loss",30-45 min,3,Push/Pull/Legs,"Bodyweight exercises,Machine-based exercises",At Home,30-45 min,1,Shoulder issues,3,3,4,1,Competition,"Structure,Challenge",3,25.3,7-24,General Fitness
U000105,30,Female,164,64,Advanced,102,3,Push/Pull/Legs,Strength,60-75 min,5,Body Part Split,"Compound movements,Free weights",Dumbbell Only,45-60 min,4,None,3,2,5,2,Competition,Structure,3,23.8,61-120,Strength
U000106,26,Male,170,88,Beginner,6,2,None/Minimal,"General Fitness,Endurance",45-60 min,2,Full Body,"Isolation exercises,Cardio,Free weights",Full Gym,60-90 min,2,None,1,3,4,3,Competition,Achievement,3,30.4,0-6,General Fitness
U000107,18,Female,181,72,Novice,16,2,Upper/Lower,Athletic Performance,60-75 min,4,Push/Pull/Legs,Olympic lifts,At Home,60-90 min,5,Hip issues,2,3,2,4,Social,Social,1,22.0,7-24,Athletic Performance
U000108,25,Male,191,79,Advanced,96,5,CrossFit/Functional Fitness,"Endurance,Weight Loss",60-75 min,4,Push/Pull/Legs,"Machine-based exercises,Compound movements,Isolation exercises",At Home,45-60 min,5,None,4,3,4,4,Competition,Social,2,21.7,61-120,Endurance
U000109,46,Female,151,54,Beginner,0,1,Full Body,"General Fitness,Athletic Performance",45-60 min,2,No preference,"Olympic lifts,Free weights,Cardio",Dumbbell Only,60-90 min,5,None,3,3,4,3,Process-driven,Achievement,2,23.7,,General Fitness
U000110,57,Female,171,61,Intermediate,25,2,Body Part Split,Strength,60-75 min,4,Push/Pull/Legs,"Olympic lifts,Cardio,Bodyweight exercises",Full Gym,60-90 min,2,Back issues,4,4,1,4,Process-driven,Variety,4,20.9,25-60,Strength
